SampleID,ProjectID,HostName,BodySite,shannon_entropy,pielou_evenness,observed_features,faith_pd
SRR23216662,PRJNA924021,Terrapene carolina,Cloaca,4.461309763931498,0.6188138736288635,148.0,10.02290056665984
SRR23216663,PRJNA924021,Terrapene carolina,Cloaca,4.299742020824837,0.6085037854647121,134.0,9.34159473239404
SRR23216664,PRJNA924021,Terrapene carolina,Cloaca,4.197208108764213,0.6109148902678221,117.0,8.94811084358138
SRR23216665,PRJNA924021,Terrapene carolina,Cloaca,4.419208970251523,0.6180930453044716,142.0,9.5620765065524
SRR23216666,PRJNA924021,Terrapene carolina,Cloaca,4.248252644543326,0.5884684132946876,149.0,10.86292208301092
SRR23216667,PRJNA924021,Terrapene carolina,Cloaca,4.695012342424144,0.6503536147018181,149.0,10.86292208301092
ERR1474235,PRJEB14602,Varanus komodoensis,Feces,5.288433380093122,0.717920452877524,165.0,11.01487935789664
ERR1474236,PRJEB14602,Varanus komodoensis,Oral Cavity,6.785875173611545,0.7793264376348121,418.0,24.63323609742231
ERR1474237,PRJEB14602,Varanus komodoensis,Skin,5.491313224333053,0.7807454809888011,131.0,11.01777460809303
ERR1474238,PRJEB14602,Varanus komodoensis,Feces,4.663353864326918,0.7463841176602705,76.0,5.930100536476672
ERR1474239,PRJEB14602,Varanus komodoensis,Oral Cavity,5.960530220421795,0.7747501559889812,207.0,13.81164323899892
ERR1474240,PRJEB14602,Varanus komodoensis,Feces,3.506721829384101,0.537547102795302,92.0,7.765810607430987
ERR1474244,PRJEB14602,Varanus komodoensis,Skin,4.734163235778781,0.638940943538142,170.0,11.88894460686536
ERR1474246,PRJEB14602,Varanus komodoensis,Oral Cavity,4.844038306925255,0.5853027419257049,310.0,20.10380424212457
ERR1474247,PRJEB14602,Varanus komodoensis,Skin,4.182697746533291,0.5206619576403233,262.0,17.31470642846291
ERR1474248,PRJEB14602,Varanus komodoensis,Feces,4.777043177494083,0.6484977222766206,165.0,10.11603474795507
ERR1474249,PRJEB14602,Varanus komodoensis,Oral Cavity,4.741791527596749,0.7286326305238132,91.0,7.983593950933459
ERR1474250,PRJEB14602,Varanus komodoensis,Skin,6.2094086691543655,0.8279381686827287,181.0,12.18443911812641
ERR1474251,PRJEB14602,Varanus komodoensis,Feces,4.5953658460501225,0.6253280499162718,163.0,11.03434604629593
